"gemeinde_kennziffer";"metrik";"l_untergrenze";"exponierte";"l_zentral";"quelle";"kartierungsumfang";"datenquelle"
"06431013";"lnight";"55";"598";"57";"Straße";"major";"Bundesland"
"06431013";"lnight";"60";"478";"62";"Straße";"major";"Bundesland"
"06431013";"lnight";"65";"45";"67";"Straße";"major";"Bundesland"
"06431013";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431014";"lden";"55";"184";"57";"Straße";"major";"Bundesland"
"06431014";"lden";"60";"166";"62";"Straße";"major";"Bundesland"
"06431014";"lden";"65";"208";"67";"Straße";"major";"Bundesland"
"06431014";"lden";"70";"177";"72";"Straße";"major";"Bundesland"
"06431014";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431014";"lnight";"50";"171";"52";"Straße";"major";"Bundesland"
"06431014";"lnight";"55";"187";"57";"Straße";"major";"Bundesland"
"06431014";"lnight";"60";"227";"62";"Straße";"major";"Bundesland"
"06431014";"lnight";"65";"4";"67";"Straße";"major";"Bundesland"
"06431014";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431015";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06431015";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431015";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431015";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431015";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431015";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06431015";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431015";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431015";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431015";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431016";"lden";"55";"3732";"57";"Straße";"major";"Bundesland"
"06431016";"lden";"60";"1317";"62";"Straße";"major";"Bundesland"
"06431016";"lden";"65";"524";"67";"Straße";"major";"Bundesland"
"06431016";"lden";"70";"80";"72";"Straße";"major";"Bundesland"
"06431016";"lden";"75";"4";"77";"Straße";"major";"Bundesland"
"06431016";"lnight";"50";"2486";"52";"Straße";"major";"Bundesland"
"06431016";"lnight";"55";"790";"57";"Straße";"major";"Bundesland"
"06431016";"lnight";"60";"259";"62";"Straße";"major";"Bundesland"
"06431016";"lnight";"65";"20";"67";"Straße";"major";"Bundesland"
"06431016";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431017";"lden";"55";"363";"57";"Straße";"major";"Bundesland"
"06431017";"lden";"60";"216";"62";"Straße";"major";"Bundesland"
"06431017";"lden";"65";"174";"67";"Straße";"major";"Bundesland"
"06431017";"lden";"70";"128";"72";"Straße";"major";"Bundesland"
"06431017";"lden";"75";"54";"77";"Straße";"major";"Bundesland"
"06431017";"lnight";"50";"249";"52";"Straße";"major";"Bundesland"
"06431017";"lnight";"55";"178";"57";"Straße";"major";"Bundesland"
"06431017";"lnight";"60";"114";"62";"Straße";"major";"Bundesland"
"06431017";"lnight";"65";"93";"67";"Straße";"major";"Bundesland"
"06431017";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431018";"lden";"55";"136";"57";"Straße";"major";"Bundesland"
"06431018";"lden";"60";"127";"62";"Straße";"major";"Bundesland"
"06431018";"lden";"65";"108";"67";"Straße";"major";"Bundesland"
"06431018";"lden";"70";"155";"72";"Straße";"major";"Bundesland"
"06431018";"lden";"75";"35";"77";"Straße";"major";"Bundesland"
"06431018";"lnight";"50";"134";"52";"Straße";"major";"Bundesland"
"06431018";"lnight";"55";"110";"57";"Straße";"major";"Bundesland"
"06431018";"lnight";"60";"160";"62";"Straße";"major";"Bundesland"
"06431018";"lnight";"65";"36";"67";"Straße";"major";"Bundesland"
"06431018";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431019";"lden";"55";"294";"57";"Straße";"major";"Bundesland"
"06431019";"lden";"60";"195";"62";"Straße";"major";"Bundesland"
"06431019";"lden";"65";"223";"67";"Straße";"major";"Bundesland"
"06431019";"lden";"70";"200";"72";"Straße";"major";"Bundesland"
"06431019";"lden";"75";"4";"77";"Straße";"major";"Bundesland"
"06431019";"lnight";"50";"206";"52";"Straße";"major";"Bundesland"
"06431019";"lnight";"55";"212";"57";"Straße";"major";"Bundesland"
"06431019";"lnight";"60";"238";"62";"Straße";"major";"Bundesland"
"06431019";"lnight";"65";"18";"67";"Straße";"major";"Bundesland"
"06431019";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431020";"lden";"55";"3460";"57";"Straße";"major";"Bundesland"
"06431020";"lden";"60";"1429";"62";"Straße";"major";"Bundesland"
"06431020";"lden";"65";"486";"67";"Straße";"major";"Bundesland"
"06431020";"lden";"70";"36";"72";"Straße";"major";"Bundesland"
"06431020";"lden";"75";"38";"77";"Straße";"major";"Bundesland"
"06431020";"lnight";"50";"2200";"52";"Straße";"major";"Bundesland"
"06431020";"lnight";"55";"1018";"57";"Straße";"major";"Bundesland"
"06431020";"lnight";"60";"120";"62";"Straße";"major";"Bundesland"
"06431020";"lnight";"65";"34";"67";"Straße";"major";"Bundesland"
"06431020";"lnight";"70";"11";"72";"Straße";"major";"Bundesland"
"06431021";"lden";"55";"209";"57";"Straße";"major";"Bundesland"
"06431021";"lden";"60";"162";"62";"Straße";"major";"Bundesland"
"06431021";"lden";"65";"80";"67";"Straße";"major";"Bundesland"
"06431021";"lden";"70";"67";"72";"Straße";"major";"Bundesland"
"06431021";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431021";"lnight";"50";"168";"52";"Straße";"major";"Bundesland"
"06431021";"lnight";"55";"92";"57";"Straße";"major";"Bundesland"
"06431021";"lnight";"60";"69";"62";"Straße";"major";"Bundesland"
"06431021";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431021";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431022";"lden";"55";"1742";"57";"Straße";"major";"Bundesland"
"06431022";"lden";"60";"444";"62";"Straße";"major";"Bundesland"
"06431022";"lden";"65";"280";"67";"Straße";"major";"Bundesland"
"06431022";"lden";"70";"143";"72";"Straße";"major";"Bundesland"
"06431022";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431022";"lnight";"50";"893";"52";"Straße";"major";"Bundesland"
"06431022";"lnight";"55";"308";"57";"Straße";"major";"Bundesland"
"06431022";"lnight";"60";"222";"62";"Straße";"major";"Bundesland"
"06431022";"lnight";"65";"1";"67";"Straße";"major";"Bundesland"
"06431022";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06431200";"lden";"55";"0";"57";"Straße";"major";"Bundesland"
"06431200";"lden";"60";"0";"62";"Straße";"major";"Bundesland"
"06431200";"lden";"65";"0";"67";"Straße";"major";"Bundesland"
"06431200";"lden";"70";"0";"72";"Straße";"major";"Bundesland"
"06431200";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06431200";"lnight";"50";"0";"52";"Straße";"major";"Bundesland"
"06431200";"lnight";"55";"0";"57";"Straße";"major";"Bundesland"
"06431200";"lnight";"60";"0";"62";"Straße";"major";"Bundesland"
"06431200";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06431200";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432001";"lden";"55";"1839";"57";"Straße";"major";"Bundesland"
"06432001";"lden";"60";"694";"62";"Straße";"major";"Bundesland"
"06432001";"lden";"65";"309";"67";"Straße";"major";"Bundesland"
"06432001";"lden";"70";"39";"72";"Straße";"major";"Bundesland"
"06432001";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06432001";"lnight";"50";"1284";"52";"Straße";"major";"Bundesland"
"06432001";"lnight";"55";"439";"57";"Straße";"major";"Bundesland"
"06432001";"lnight";"60";"99";"62";"Straße";"major";"Bundesland"
"06432001";"lnight";"65";"0";"67";"Straße";"major";"Bundesland"
"06432001";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432002";"lden";"55";"624";"57";"Straße";"major";"Bundesland"
"06432002";"lden";"60";"430";"62";"Straße";"major";"Bundesland"
"06432002";"lden";"65";"318";"67";"Straße";"major";"Bundesland"
"06432002";"lden";"70";"102";"72";"Straße";"major";"Bundesland"
"06432002";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06432002";"lnight";"50";"455";"52";"Straße";"major";"Bundesland"
"06432002";"lnight";"55";"314";"57";"Straße";"major";"Bundesland"
"06432002";"lnight";"60";"139";"62";"Straße";"major";"Bundesland"
"06432002";"lnight";"65";"1";"67";"Straße";"major";"Bundesland"
"06432002";"lnight";"70";"0";"72";"Straße";"major";"Bundesland"
"06432003";"lden";"55";"1542";"57";"Straße";"major";"Bundesland"
"06432003";"lden";"60";"663";"62";"Straße";"major";"Bundesland"
"06432003";"lden";"65";"319";"67";"Straße";"major";"Bundesland"
"06432003";"lden";"70";"86";"72";"Straße";"major";"Bundesland"
"06432003";"lden";"75";"0";"77";"Straße";"major";"Bundesland"
"06432003";"lnight";"50";"955";"52";"Straße";"major";"Bundesland"
"06432003";"lnight";"55";"521";"57";"Straße";"major";"Bundesland"
